increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
15+15,30.25,15,15,Classic,256
15+15,19.75,15,15,Classic,257
15+15,36.5,15,15,Classic,258
15+15,21.75,15,15,Classic,259
15+15,28.25,15,15,Classic,260
15+15,19.0,15,15,Classic,261
15+15,26.25,15,15,Classic,262
15+15,38.25,15,15,Classic,263
15+15,41.25,15,15,Classic,264
15+15,30.0,15,15,Classic,265
15+15,31.25,15,15,Classic,266
15+15,29.0,15,15,Classic,267
15+15,31.0,15,15,Classic,268
5+5,10.416666666666666,5,5,Rapid,269
5+5,10.166666666666666,5,5,Rapid,270
5+5,18.166666666666664,5,5,Rapid,271
5+5,8.833333333333332,5,5,Rapid,272
5+5,6.666666666666666,5,5,Rapid,273
10+5,16.083333333333332,10,5,Rapid,274
11+5,13.916666666666666,11,5,Rapid,275
11+5,14.833333333333332,11,5,Rapid,276
10+5,14.333333333333332,10,5,Rapid,277
10+15,22.25,10,15,Rapid,278
10+10,16.833333333333332,10,10,Rapid,279
10+10,17.666666666666664,10,10,Rapid,280
10+5,14.416666666666666,10,5,Rapid,281
15+15,28.5,15,15,Classic,282
15+15,34.0,15,15,Classic,283
10+2,12.133333333333333,10,2,Rapid,284
5+5,9.25,5,5,Rapid,285
10+5,15.916666666666666,10,5,Rapid,286
10+5,14.083333333333332,10,5,Rapid,287
10+5,12.833333333333332,10,5,Rapid,288
5+5,12.333333333333332,5,5,Rapid,289
7+5,7.916666666666667,7,5,Rapid,290
10+5,15.833333333333332,10,5,Rapid,291
10+5,16.916666666666664,10,5,Rapid,292
10+5,14.75,10,5,Rapid,293
10+5,13.25,10,5,Rapid,294
10+5,14.666666666666666,10,5,Rapid,295
10+5,13.833333333333332,10,5,Rapid,296
10+5,12.583333333333332,10,5,Rapid,297
10+5,15.5,10,5,Rapid,298
10+5,18.33333333333333,10,5,Rapid,299
10+5,10.833333333333334,10,5,Rapid,300
10+5,18.916666666666664,10,5,Rapid,301
10+5,13.666666666666666,10,5,Rapid,302
10+5,12.25,10,5,Rapid,303
10+5,16.0,10,5,Rapid,304
180+0,180.0,180,0,Classic,305
17+5,19.166666666666668,17,5,Rapid,306
15+15,27.0,15,15,Classic,307
8+5,16.5,8,5,Rapid,308
5+8,17.133333333333333,5,8,Rapid,309
2+10,7.666666666666666,2,10,Rapid,310
6+5,9.416666666666666,6,5,Rapid,311
10+3,13.1,10,3,Rapid,312
10+9,18.7,10,9,Rapid,313
3+8,10.466666666666669,3,8,Rapid,314
60+120,96.0,60,120,Classic,315
90+120,340.0,90,120,Classic,316
15+8,28.866666666666667,15,8,Rapid,317
5+8,7.666666666666666,5,8,Rapid,318
5+8,10.066666666666666,5,8,Rapid,319
5+8,8.466666666666667,5,8,Rapid,320
5+8,9.666666666666668,5,8,Rapid,321
5+8,8.066666666666666,5,8,Rapid,322
5+8,15.133333333333333,5,8,Rapid,323
5+8,14.066666666666666,5,8,Rapid,324
9+1,9.566666666666666,9,1,Rapid,325
9+1,9.883333333333333,9,1,Rapid,326
5+5,19.83333333333333,5,5,Rapid,327
5+5,12.583333333333332,5,5,Rapid,328
5+5,9.75,5,5,Rapid,329
5+5,7.75,5,5,Rapid,330
5+5,7.166666666666666,5,5,Rapid,331
5+5,7.666666666666666,5,5,Rapid,332
5+5,10.25,5,5,Rapid,333
5+8,16.46666666666667,5,8,Rapid,334
9+3,13.95,9,3,Rapid,335
5+5,17.75,5,5,Rapid,336
5+5,8.25,5,5,Rapid,337
5+5,7.333333333333333,5,5,Rapid,338
5+5,6.75,5,5,Rapid,339
6+10,22.33333333333333,6,10,Rapid,340
2+15,6.5,2,15,Rapid,341
10+1,11.2,10,1,Rapid,342
5+8,11.0,5,8,Rapid,343
15+15,37.75,15,15,Classic,344
5+12,19.8,5,12,Rapid,345
5+8,15.266666666666666,5,8,Rapid,346
60+10,67.83333333333333,60,10,Classic,347
5+60,80.0,5,60,Classic,348
5+8,19.4,5,8,Rapid,349
15+3,22.7,15,3,Rapid,350
8+15,28.0,8,15,Rapid,351
15+5,20.166666666666664,15,5,Rapid,352
30+25,45.833333333333336,30,25,Classic,353
12+1,13.016666666666666,12,1,Rapid,354
10+5,12.333333333333332,10,5,Rapid,355
15+3,17.45,15,3,Rapid,356
15+5,22.666666666666664,15,5,Rapid,357
15+10,31.33333333333333,15,10,Rapid,358
15+10,19.0,15,10,Rapid,359
20+5,21.33333333333333,20,5,Rapid,360
10+5,17.083333333333332,10,5,Rapid,361
5+8,9.8,5,8,Rapid,362
14+0,14.0,14,0,Rapid,363
10+5,13.5,10,5,Rapid,364
10+5,12.666666666666666,10,5,Rapid,365
7+2,8.8,7,2,Blitz,366
5+60,120.0,5,60,Classic,367
15+2,16.8,15,2,Rapid,368
25+25,42.5,25,25,Classic,369
25+25,50.41666666666667,25,25,Classic,370
60+20,71.33333333333333,60,20,Classic,371
10+10,17.333333333333332,10,10,Rapid,372
10+10,15.5,10,10,Rapid,373
10+15,15.0,10,15,Rapid,374
15+15,28.75,15,15,Classic,375
15+15,20.0,15,15,Classic,376
5+8,15.0,5,8,Rapid,377
15+5,28.33333333333333,15,5,Rapid,378
8+10,16.333333333333332,8,10,Rapid,379
10+2,11.3,10,2,Rapid,380
10+8,13.866666666666667,10,8,Rapid,381
5+10,9.5,5,10,Rapid,382
20+3,22.0,20,3,Rapid,383
30+10,43.0,30,10,Classic,384
14+12,28.8,14,12,Rapid,385
20+5,23.08333333333333,20,5,Rapid,386
10+1,10.683333333333334,10,1,Rapid,387
7+7,12.366666666666667,7,7,Rapid,388
10+10,16.0,10,10,Rapid,389
10+10,18.166666666666664,10,10,Rapid,390
10+10,23.0,10,10,Rapid,391
10+10,14.833333333333332,10,10,Rapid,392
10+10,20.83333333333333,10,10,Rapid,393
10+10,28.666666666666664,10,10,Rapid,394
10+10,21.666666666666664,10,10,Rapid,395
20+60,50.0,20,60,Classic,396
60+0,60.0,60,0,Classic,397
10+10,21.166666666666664,10,10,Rapid,398
45+45,75.75,45,45,Classic,399
45+45,66.0,45,45,Classic,400
10+10,18.666666666666664,10,10,Rapid,401
